EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
2017p749586|2017-10-05T08:19:29|-35.478|-179.530|33.0|GNS|GNS|GNS|2017p749586|ML|4.2|GNS|300 km north-east of Te Araroa
2018p708924|2018-09-20T07:14:21|-34.924|-178.747|33.0|GNS|GNS|GNS|2018p708924|M|4.2|GNS|395 km north-east of Te Araroa
2018p724401|2018-09-26T00:37:29|-17.984|-178.459|522.1|GNS|GNS|GNS|2018p724401|Mw(mB)|5.0|GNS|2020 km north-east of Cape Reinga
2018p708975|2018-09-20T07:41:35|-34.878|-178.707|33.0|GNS|GNS|GNS|2018p708975|M|4.2|GNS|400 km north-east of Te Araroa
2018p709655|2018-09-20T13:44:18|-34.460|-178.245|33.0|GNS|GNS|GNS|2018p709655|M|4.5|GNS|465 km north-east of Te Araroa
2018p724961|2018-09-26T05:35:32|-20.396|-177.969|455.5|GNS|GNS|GNS|2018p724961|mb|4.5|GNS|1805 km north-east of Cape Reinga
2017p027356|2017-01-11T02:49:18|-6.130|154.460|63.0|GNS|GNS|GNS|2017p027356|M|5.6|GNS|3650 km north-west of Cape Reinga
2017p024537|2017-01-10T01:53:30|-35.102|179.141|227.7|GNS|GNS|GNS|2017p024537|M|4.1|GNS|285 km north of Te Araroa
2017p027063|2017-01-11T00:19:21|-41.677|174.273|12.3|GNS|GNS|GNS|2017p027063|M|5.1|GNS|15 km east of Seddon
2016p939859|2016-12-13T17:55:26|-25.904|-179.621|453.0|GNS|GNS|GNS|2016p939859|M|4.2|GNS|1200 km north-east of Cape Reinga
2017p070898|2017-01-27T05:34:11|-35.801|178.258|203.6|GNS|GNS|GNS|2017p070898|M|4.2|GNS|200 km north of Te Araroa
2016p869458|2016-11-17T16:46:07|-32.588|-179.561|22.0|GNS|GNS|GNS|2016p869458|M|4.7|GNS|590 km north of Te Araroa
2016p892721|2016-11-26T07:21:43|-38.719|177.487|11.7|GNS|GNS|GNS|2016p892721|M|4.9|GNS|35 km north of Wairoa
2016p894206|2016-11-26T20:33:28|-41.774|174.237|12.0|GNS|GNS|GNS|2016p894206|M|4.2|GNS|15 km south-east of Seddon
2016p869902|2016-11-17T20:43:46|-42.840|172.521|5.0|GNS|GNS|GNS|2016p869902|M|4.3|GNS|25 km west of Culverden
2018p957810|2018-12-21T09:20:21|-32.610|179.994|33.0|GNS|GNS|GNS|2018p957810|mB|4.9|GNS|575 km north of Te Araroa
2016p892897|2016-11-26T08:54:15|-30.280|-178.673|305.1|GNS|GNS|GNS|2016p892897|M|4.2|GNS|855 km north of Te Araroa
2017p025040|2017-01-10T06:13:47|4.561|122.617|600.0|GNS|GNS|GNS|2017p025040|M|6.9|GNS|6790 km north-west of Cape Reinga
2018p957983|2018-12-21T10:43:55|-8.329|116.774|10.0|GNS|GNS|GNS|2018p957983|mB|5.6|GNS|6345 km north-west of Milford Sound
2017p024647|2017-01-10T02:51:53|-38.406|175.930|168.2|GNS|GNS|GNS|2017p024647|M|4.7|GNS|20 km south of Tokoroa
2017p029898|2017-01-12T01:30:07|-42.018|177.891|33.0|GNS|GNS|GNS|2017p029898|MLv|4.2|GNS|185 km south-east of Castlepoint
2018p958204|2018-12-21T12:50:11|-31.825|177.926|33.0|GNS|GNS|GNS|2018p958204|mB|5.1|GNS|545 km north-east of Whangarei
2017p090241|2017-02-03T09:20:02|-33.509|-178.706|161.7|GNS|GNS|GNS|2017p090241|M|4.5|GNS|525 km north-east of Te Araroa
2016p869983|2016-11-17T21:27:03|-42.222|173.824|5.0|GNS|GNS|GNS|2016p869983|M|4.8|GNS|20 km north-east of Kaikoura
2016p895554|2016-11-27T08:31:11|-40.924|174.570|26.5|GNS|GNS|GNS|2016p895554|M|4.5|GNS|30 km north-west of Porirua
2016p869603|2016-11-17T18:04:42|-42.697|172.798|5.0|GNS|GNS|GNS|2016p869603|M|4.2|GNS|10 km north-west of Culverden
2017p749745|2017-10-05T09:43:09|-25.068|178.505|565.0|GNS|GNS|GNS|2017p749745|M|4.7|GNS|1180 km north-east of Cape Reinga
2018p726071|2018-09-26T15:29:33|-33.313|-178.626|120.0|GNS|GNS|GNS|2018p726071|M|4.2|GNS|550 km north-east of Te Araroa
2018p711239|2018-09-21T03:40:40|-17.980|180.000|655.0|GNS|GNS|GNS|2018p711239|M|5.2|GNS|1960 km north-east of Cape Reinga
2018p711232|2018-09-21T03:41:42|-17.830|-179.860|648.0|GNS|GNS|GNS|2018p711232|M|4.8|GNS|1980 km north-east of Cape Reinga
2017p767034|2017-10-11T19:15:52|-35.080|-179.706|154.1|GNS|GNS|GNS|2017p767034|M|4.3|GNS|330 km north-east of Te Araroa
2018p712800|2018-09-21T17:40:07|-34.254|179.878|120.0|GNS|GNS|GNS|2018p712800|M|4.4|GNS|395 km north of Te Araroa
2018p959439|2018-12-21T23:45:02|-9.486|-174.152|600.0|GNS|GNS|GNS|2018p959439|mB|4.9|GNS|3070 km north-east of Cape Reinga
2016p897234|2016-11-27T23:26:18|-37.293|178.908|12.0|GNS|GNS|GNS|2016p897234|M|4.0|GNS|60 km north-east of Te Araroa
2016p895713|2016-11-27T09:54:46|-31.783|-178.815|90.0|GNS|GNS|GNS|2016p895713|M|4.8|GNS|695 km north of Te Araroa
2016p870610|2016-11-18T03:01:09|-38.563|177.906|15.5|GNS|GNS|GNS|2016p870610|M|4.1|GNS|15 km north-west of Gisborne
2016p870237|2016-11-17T23:42:17|-41.906|174.033|11.9|GNS|GNS|GNS|2016p870237|M|4.1|GNS|25 km south of Seddon
2016p897263|2016-11-27T23:41:54|-42.336|173.463|7.0|GNS|GNS|GNS|2016p897263|M|4.4|GNS|15 km west of Kaikoura
2017p087060|2017-02-02T05:05:39|-37.776|177.547|27.5|GNS|GNS|GNS|2017p087060|M|4.8|GNS|10 km west of Te Kaha
2017p090786|2017-02-03T14:11:17|-32.659|-179.575|367.0|GNS|GNS|GNS|2017p090786|M|4.3|GNS|580 km north of Te Araroa
2016p935725|2016-12-12T05:14:21|-41.799|174.192|15.6|GNS|GNS|GNS|2016p935725|M|4.7|GNS|15 km south-east of Seddon
2017p035565|2017-01-14T03:46:51|-23.812|178.900|498.4|GNS|GNS|GNS|2017p035565|M|4.8|GNS|1320 km north-east of Cape Reinga
2016p976987|2016-12-27T11:38:46|-42.386|173.708|13.2|GNS|GNS|GNS|2016p976987|M|4.7|GNS|Within 5 km of Kaikoura
2016p871139|2016-11-18T07:43:18|-42.428|173.144|5.0|GNS|GNS|GNS|2016p871139|M|4.3|GNS|25 km east of Hanmer Springs
2016p871141|2016-11-18T07:43:14|-42.246|173.792|5.0|GNS|GNS|GNS|2016p871141|M|4.1|GNS|15 km north-east of Kaikoura
2016p871182|2016-11-18T08:05:29|-34.204|179.527|161.0|GNS|GNS|GNS|2016p871182|M|4.7|GNS|390 km north of Te Araroa
2018p713962|2018-09-22T03:58:43|-35.471|178.598|215.7|GNS|GNS|GNS|2018p713962|M|4.1|GNS|240 km north of Te Araroa
2018p961091|2018-12-22T14:24:59|-13.130|166.495|47.0|GNS|GNS|GNS|2018p961091|mB|5.7|GNS|2440 km north of Cape Reinga
2018p715616|2018-09-22T18:35:54|-21.722|-176.419|88.2|GNS|GNS|GNS|2018p715616|M|5.8|GNS|1765 km north-east of Cape Reinga
2018p716569|2018-09-23T03:07:47|-32.401|179.059|120.0|GNS|GNS|GNS|2018p716569|M|4.7|GNS|570 km north-east of Whangarei
2018p716895|2018-09-23T05:52:11|12.220|146.240|10.0|GNS|GNS|GNS|2018p716895|M|6.3|GNS|5870 km north-west of Cape Reinga
2019p041022|2019-01-16T04:12:36|-21.650|168.957|10.0|GNS|GNS|GNS|2019p041022|mB|5.2|GNS|1460 km north of Cape Reinga
2016p942076|2016-12-14T13:36:54|-31.668|-176.361|10.0|GNS|GNS|GNS|2016p942076|M|4.7|GNS|815 km north-east of Te Araroa
2016p979398|2016-12-28T09:03:16|-41.795|174.210|12.7|GNS|GNS|GNS|2016p979398|M|4.1|GNS|15 km south-east of Seddon
2016p900355|2016-11-29T03:09:37|-42.243|173.704|11.9|GNS|GNS|GNS|2016p900355|M|4.2|GNS|15 km north of Kaikoura
2016p981419|2016-12-29T03:00:20|-41.548|174.434|13.2|GNS|GNS|GNS|2016p981419|M|4.6|GNS|30 km north-east of Seddon
2018p873888|2018-11-20T08:06:20|-31.464|-176.087|33.0|GNS|GNS|GNS|2018p873888|M|4.5|GNS|850 km north-east of Te Araroa
2016p871569|2016-11-18T11:32:15|-41.743|174.385|10.5|GNS|GNS|GNS|2016p871569|M|4.2|GNS|25 km east of Seddon
2017p029455|2017-01-11T21:34:03|-42.772|171.686|2.8|GNS|GNS|GNS|2017p029455|M|4.5|GNS|20 km north-east of Arthur's Pass
2017p075693|2017-01-29T00:07:15|-24.033|-177.938|614.0|GNS|GNS|GNS|2017p075693|M|4.0|GNS|1465 km north-east of Cape Reinga
2016p938566|2016-12-13T06:28:04|-37.268|-179.933|12.0|GNS|GNS|GNS|2016p938566|M|4.5|GNS|155 km east of Te Araroa
2017p102721|2017-02-08T00:06:34|-17.446|-176.348|600.0|GNS|GNS|GNS|2017p102721|M|4.4|GNS|2175 km north-east of Cape Reinga
2016p898701|2016-11-28T12:28:06|-42.073|173.755|5.0|GNS|GNS|GNS|2016p898701|M|4.1|GNS|35 km north of Kaikoura
2016p939551|2016-12-13T15:11:41|-32.998|-178.600|10.0|GNS|GNS|GNS|2016p939551|M|4.3|GNS|580 km north-east of Te Araroa
2017p084950|2017-02-01T10:21:29|-42.290|173.762|21.1|GNS|GNS|GNS|2017p084950|M|5.1|GNS|10 km north-east of Kaikoura
2016p939093|2016-12-13T11:06:31|-24.319|179.630|521.0|GNS|GNS|GNS|2016p939093|M|4.5|GNS|1305 km north-east of Cape Reinga
2018p875593|2018-11-20T23:14:59|-31.449|-179.493|290.3|GNS|GNS|GNS|2018p875593|M|4.4|GNS|710 km north of Te Araroa
2017p099067|2017-02-06T15:43:05|-37.311|178.862|20.7|GNS|GNS|GNS|2017p099067|M|4.6|GNS|55 km north-east of Te Araroa
2017p100431|2017-02-07T03:49:46|-42.706|172.760|11.5|GNS|GNS|GNS|2017p100431|M|4.3|GNS|10 km north-west of Culverden
2017p749938|2017-10-05T11:17:28|7.364|126.487|10.0|GNS|GNS|GNS|2017p749938|mB|5.3|GNS|6705 km north-west of Cape Reinga
2016p871629|2016-11-18T12:03:56|-41.994|173.589|5.0|GNS|GNS|GNS|2016p871629|M|4.6|GNS|45 km north of Kaikoura
2016p898762|2016-11-28T13:00:49|-42.073|173.760|5.0|GNS|GNS|GNS|2016p898762|M|4.4|GNS|35 km north of Kaikoura
2017p875179|2017-11-20T19:34:35|-33.383|-178.775|33.0|GNS|GNS|GNS|2017p875179|M|4.2|GNS|535 km north-east of Te Araroa
2016p871889|2016-11-18T14:22:57|-42.527|173.121|5.0|GNS|GNS|GNS|2016p871889|M|5.3|GNS|20 km east of Hanmer Springs
2016p872063|2016-11-18T15:55:34|-42.521|173.125|5.0|GNS|GNS|GNS|2016p872063|M|4.6|GNS|20 km east of Hanmer Springs
2017p875236|2017-11-20T20:05:15|-34.220|179.477|33.0|GNS|GNS|GNS|2017p875236|M|4.9|GNS|390 km north of Te Araroa
2016p871992|2016-11-18T15:17:33|-41.729|174.396|7.6|GNS|GNS|GNS|2016p871992|M|4.4|GNS|25 km east of Seddon
2017p073995|2017-01-28T09:04:22|-32.795|-178.685|33.0|GNS|GNS|GNS|2017p073995|M|4.2|GNS|595 km north-east of Te Araroa
2017p075520|2017-01-28T22:32:56|-15.230|-173.670|38.0|GNS|GNS|GNS|2017p075520|M|5.1|GNS|2525 km north-east of Cape Reinga
2016p900783|2016-11-29T06:57:18|-34.767|179.097|33.0|GNS|GNS|GNS|2016p900783|M|4.1|GNS|320 km north of Te Araroa
2016p871791|2016-11-18T13:30:10|-42.341|173.427|7.1|GNS|GNS|GNS|2016p871791|M|4.5|GNS|20 km west of Kaikoura
2016p872086|2016-11-18T16:07:44|-42.012|173.852|8.9|GNS|GNS|GNS|2016p872086|M|4.2|GNS|40 km south-west of Seddon
2016p872630|2016-11-18T20:54:47|-28.014|-177.020|10.0|GNS|GNS|GNS|2016p872630|M|5.4|GNS|1150 km north-east of Te Araroa
2019p041473|2019-01-16T08:16:57|-15.135|-173.319|10.0|GNS|GNS|GNS|2019p041473|M|5.5|GNS|2555 km north-east of Cape Reinga
2016p871712|2016-11-18T12:48:20|-42.316|173.771|5.0|GNS|GNS|GNS|2016p871712|M|4.2|GNS|10 km north-east of Kaikoura
2016p941586|2016-12-14T09:16:17|-31.727|-176.151|10.0|GNS|GNS|GNS|2016p941586|M|5.0|GNS|820 km north-east of Te Araroa
2017p074534|2017-01-28T13:40:29|39.770|140.720|151.0|GNS|GNS|GNS|2017p074534|Mw(mB)|4.4|GNS|8845 km north-west of Cape Reinga
2016p981371|2016-12-29T02:34:33|-41.549|174.462|16.0|GNS|GNS|GNS|2016p981371|MLv|5.6|GNS|35 km east of Seddon
2017p093285|2017-02-04T12:21:11|-32.854|-177.874|33.0|GNS|GNS|GNS|2017p093285|M|4.4|GNS|630 km north-east of Te Araroa
2016p902047|2016-11-29T18:07:45|-20.479|-175.416|73.0|GNS|GNS|GNS|2016p902047|M|4.3|GNS|1935 km north-east of Cape Reinga
2018p719772|2018-09-24T07:33:15|-32.000|-179.298|120.0|GNS|GNS|GNS|2018p719772|mB|4.7|GNS|655 km north of Te Araroa
2017p875105|2017-11-20T18:51:07|-14.637|-175.027|6.0|GNS|GNS|GNS|2017p875105|M|4.8|GNS|2515 km north-east of Cape Reinga
2018p723840|2018-09-25T19:41:30|-33.012|-178.936|120.0|GNS|GNS|GNS|2018p723840|Mw(mB)|4.8|GNS|565 km north-east of Te Araroa
2018p723844|2018-09-25T19:44:25|-39.281|177.736|26.8|GNS|GNS|GNS|2018p723844|M|4.1|GNS|35 km south-east of Wairoa
2018p724428|2018-09-26T00:51:11|-15.210|167.430|128.0|GNS|GNS|GNS|2018p724428|M|4.9|GNS|2190 km north of Cape Reinga
2018p724657|2018-09-26T02:54:18|-30.683|-178.805|204.4|GNS|GNS|GNS|2018p724657|Mw(mB)|4.1|GNS|810 km north of Te Araroa
2018p876170|2018-11-21T04:22:33|-32.166|179.754|322.2|GNS|GNS|GNS|2018p876170|M|4.3|GNS|615 km north of Te Araroa
2018p876709|2018-11-21T09:09:51|-34.933|-179.159|409.3|GNS|GNS|GNS|2018p876709|M|4.3|GNS|370 km north-east of Te Araroa
2016p901947|2016-11-29T17:17:47|-42.323|173.797|7.1|GNS|GNS|GNS|2016p901947|M|4.2|GNS|10 km north-east of Kaikoura
2018p878986|2018-11-22T05:22:10|-30.263|179.160|208.9|GNS|GNS|GNS|2018p878986|M|4.7|GNS|755 km north-east of Whangarei
2016p873325|2016-11-19T03:08:11|-42.282|173.773|5.0|GNS|GNS|GNS|2016p873325|M|4.1|GNS|15 km north-east of Kaikoura
2016p982628|2016-12-29T13:42:23|-32.190|179.522|33.0|GNS|GNS|GNS|2016p982628|Mw(mB)|4.8|GNS|610 km north of Te Araroa
2017p039250|2017-01-15T12:32:12|-32.660|-179.801|419.0|GNS|GNS|GNS|2017p039250|M|4.6|GNS|575 km north of Te Araroa
2016p903817|2016-11-30T09:53:49|-41.827|174.081|14.9|GNS|GNS|GNS|2016p903817|M|4.2|GNS|15 km south of Seddon
2016p905198|2016-11-30T22:07:29|-21.330|-179.144|596.0|GNS|GNS|GNS|2016p905198|M|5.6|GNS|1655 km north-east of Cape Reinga
2016p985242|2016-12-30T12:56:13|-30.598|-177.770|33.0|GNS|GNS|GNS|2016p985242|M|5.1|GNS|855 km north-east of Te Araroa
2016p984394|2016-12-30T05:24:12|-31.335|179.943|374.5|GNS|GNS|GNS|2016p984394|M|4.5|GNS|710 km north of Te Araroa
2017p035840|2017-01-14T06:11:40|-18.620|176.240|4.0|GNS|GNS|GNS|2017p035840|M|5.0|GNS|1785 km north of Cape Reinga
2017p037206|2017-01-14T18:19:29|-30.082|-177.842|12.0|GNS|GNS|GNS|2017p037206|M|5.0|GNS|905 km north-east of Te Araroa
2018p879989|2018-11-22T14:17:48|-33.146|179.907|33.0|GNS|GNS|GNS|2018p879989|M|4.4|GNS|515 km north of Te Araroa
2016p872605|2016-11-18T20:44:26|-42.538|173.174|5.0|GNS|GNS|GNS|2016p872605|M|4.2|GNS|25 km east of Hanmer Springs
2017p042824|2017-01-16T20:16:36|-34.580|-179.375|33.0|GNS|GNS|GNS|2017p042824|M|4.2|GNS|390 km north-east of Te Araroa
2017p078517|2017-01-30T01:08:36|-31.745|-177.775|33.0|GNS|GNS|GNS|2017p078517|M|4.4|GNS|740 km north-east of Te Araroa
2016p941361|2016-12-14T07:17:18|-35.072|179.118|12.0|GNS|GNS|GNS|2016p941361|M|4.1|GNS|290 km north of Te Araroa
2017p077367|2017-01-29T14:59:44|-30.174|-176.532|30.0|GNS|GNS|GNS|2017p077367|M|5.2|GNS|950 km north-east of Te Araroa
2017p042466|2017-01-16T17:04:12|-22.293|-178.137|650.5|GNS|GNS|GNS|2017p042466|M|4.6|GNS|1615 km north-east of Cape Reinga
2018p725750|2018-09-26T12:38:35|-32.668|-179.033|120.0|GNS|GNS|GNS|2018p725750|Mw(mB)|4.7|GNS|595 km north-east of Te Araroa
2018p726798|2018-09-26T21:53:12|-17.579|-178.322|483.6|GNS|GNS|GNS|2018p726798|Mw(mB)|4.6|GNS|2070 km north-east of Cape Reinga
2018p726999|2018-09-26T23:44:36|-35.016|-178.585|12.0|GNS|GNS|GNS|2018p726999|Mw(mB)|4.3|GNS|395 km north-east of Te Araroa
2018p729560|2018-09-27T22:25:49|-18.867|-177.983|545.8|GNS|GNS|GNS|2018p729560|Mw(mB)|4.9|GNS|1955 km north-east of Cape Reinga
2018p730165|2018-09-28T03:51:33|-32.482|177.350|33.0|GNS|GNS|GNS|2018p730165|M|4.2|GNS|455 km north-east of Whangarei
2018p730227|2018-09-28T04:24:59|-34.052|178.205|33.0|GNS|GNS|GNS|2018p730227|mB|4.4|GNS|380 km north-east of Whitianga
2016p873890|2016-11-19T08:08:36|-41.972|174.034|9.6|GNS|GNS|GNS|2016p873890|M|4.1|GNS|30 km south of Seddon
2018p730877|2018-09-28T10:02:51|-0.585|119.857|10.0|GNS|GNS|GNS|2018p730877|Mw(mB)|7.3|GNS|6635 km north-west of Cape Reinga
2018p730969|2018-09-28T10:50:25|-0.750|119.950|10.0|GNS|GNS|GNS|2018p730969|M|5.5|GNS|6615 km west of Cape Reinga
2018p731031|2018-09-28T11:30:01|-32.730|179.600|365.7|GNS|GNS|GNS|2018p731031|mB|4.6|GNS|555 km north of Te Araroa
2018p731373|2018-09-28T14:26:00|0.020|119.580|10.0|GNS|GNS|GNS|2018p731373|M|4.9|GNS|6705 km north-west of Cape Reinga
2017p035079|2017-01-13T23:30:06|-41.630|174.307|9.2|GNS|GNS|GNS|2017p035079|M|4.5|GNS|20 km east of Seddon
2018p735223|2018-09-30T00:46:14|-35.140|179.961|139.4|GNS|GNS|GNS|2018p735223|M|4.0|GNS|310 km north-east of Te Araroa
2018p736366|2018-09-30T10:52:23|-18.504|-178.009|555.6|GNS|GNS|GNS|2018p736366|Mw(mB)|5.8|GNS|1990 km north-east of Cape Reinga
2018p737622|2018-09-30T21:58:02|-5.780|146.790|86.0|GNS|GNS|GNS|2018p737622|M|4.9|GNS|4140 km north-west of Cape Reinga
2016p984119|2016-12-30T02:58:16|-33.710|-177.696|55.0|GNS|GNS|GNS|2016p984119|M|5.2|GNS|560 km north-east of Te Araroa
2017p037218|2017-01-14T18:25:43|-18.650|176.090|5.0|GNS|GNS|GNS|2017p037218|M|5.3|GNS|1780 km north of Cape Reinga
2016p942226|2016-12-14T14:57:00|-31.756|-176.123|10.0|GNS|GNS|GNS|2016p942226|M|5.0|GNS|820 km north-east of Te Araroa
2017p036713|2017-01-14T13:59:01|-22.518|-177.475|618.8|GNS|GNS|GNS|2017p036713|M|5.4|GNS|1630 km north-east of Cape Reinga
2017p036679|2017-01-14T13:42:35|-41.664|174.300|15.0|GNS|GNS|GNS|2017p036679|M|4.1|GNS|15 km east of Seddon
2017p040622|2017-01-16T00:41:48|-30.103|-177.073|33.0|GNS|GNS|GNS|2017p040622|M|4.9|GNS|930 km north-east of Te Araroa
